station,recipe,ingredient,listed_quantity,volume_weight_conversion,conversion_source,conversion_item,weight_oz,matched_ingredient
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"Kosher Salt [Sauteed Spinach, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Creamy Spinach Alfredo Sauce,"Black Pepper [Sauteed Spinach, Creamy Spinach Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Marinara Pasta Sauce,"Extra Virgin Olive Oil [Marinara Pasta Sauce, Trillium Pasta Station Sauce]",1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Oil, olive, extra virgin",0.079,Olive Oil
Pasta,[CYO Pasta Component] Marinara Pasta Sauce,"Fresh Peeled Garlic Cloves [Marinara Pasta Sauce, Trillium Pasta Station Sauce]",1/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Chopped Garlic,0.022,Onion
Pasta,[CYO Pasta Component] Marinara Pasta Sauce,"Fresh Basil [Marinara Pasta Sauce, Trillium Pasta Station Sauce]",1/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Basil, raw",0.002,Fennel
Pasta,[CYO Pasta Component] Marinara Pasta Sauce,"Piancone Canned Ground Tomatoes [Marinara Pasta Sauce, Trillium Pasta Station Sauce]",#10 Can,yes,USDA Nutrient Database for Standard Reference,Ground peeled tomatoes,3.2,Tomato
Pasta,[CYO Pasta Component] Marinara Pasta Sauce,"Black Pepper [Marinara Pasta Sauce, Trillium Pasta Station Sauce]",,,,,,
Pasta,[CYO Pasta Component] Marinara Pasta Sauce,"Crushed Red Pepper Flakes [Marinara Pasta Sauce, Trillium Pasta Station Sauce]",,,,,,
Pasta,[CYO Pasta Component] Marinara Pasta Sauce,"Fresh Rosemary [Marinara Pasta Sauce, Trillium Pasta Station Sauce]",,,,,,
Pasta,[CYO Pasta Component] Marinara Pasta Sauce,"Fresh Thyme [Marinara Pasta Sauce, Trillium Pasta Station Sauce]",,,,,,
Pasta,[CYO Pasta Component] Marinara Pasta Sauce,"Granulated Sugar [Marinara Pasta Sauce, Trillium Pasta Station Sauce]",,,,,,
Pasta,[CYO Pasta Component] Marinara Pasta Sauce,"Kosher Salt [Marinara Pasta Sauce, Trillium Pasta Station Sauce]",,,,,,
Pasta,[CYO Pasta Component] Creamy Pesto Sauce,"Salted Butter [Alfredo Sauce, Creamy Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",1 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Butter, salted",0.167,Butter
Pasta,[CYO Pasta Component] Creamy Pesto Sauce,"Fresh Peeled Garlic Cloves [Alfredo Sauce, Creamy Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",1/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Chopped Garlic,0.022,Onion
Pasta,[CYO Pasta Component] Creamy Pesto Sauce,"All Purpose Flour [Alfredo Sauce, Creamy Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",1 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,All-Purpose Flour,0.154,Wheat Flour
Pasta,[CYO Pasta Component] Creamy Pesto Sauce,"Cornell 2% Milk [Alfredo Sauce, Creamy Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",3 Tablespoon + 2 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Milk, Reduced Fat (2%)",2.062,2% Milk
Pasta,[CYO Pasta Component] Creamy Pesto Sauce,"Heavy Cream [Alfredo Sauce, Creamy Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",1 Tablespoon + 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Cream, heavy, fluid",0.656,Cream (Heavy)
Pasta,[CYO Pasta Component] Creamy Pesto Sauce,"Grated Parmesan Cheese [Alfredo Sauce, Creamy Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",1 Tablespoon + 2 1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Cheese, parmesan, grated",0.386,Parmesan
Pasta,[CYO Pasta Component] Creamy Pesto Sauce,"Kosher Salt [Alfredo Sauce, Creamy Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Creamy Pesto Sauce,"Black Pepper [Alfredo Sauce, Creamy Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Creamy Pesto Sauce,"Fresh Flat Leaf Parsley [Alfredo Sauce, Creamy Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Parsley, fresh",0.011,Fennel
Pasta,[CYO Pasta Component] Creamy Pesto Sauce,"*Basil [Nut Free Basil Pesto Sauce, Creamy Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",*2 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Sauce, pesto, ready-to-serve, refrigerated",0.153,Fennel
Pasta,[CYO Pasta Component] Creamy Pesto Sauce,"*Parmesan [Nut Free Basil Pesto Sauce, Creamy Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",*2 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Sauce, pesto, ready-to-serve, refrigerated",0.153,Parmesan
Pasta,[CYO Pasta Component] Creamy Pesto Sauce,"*Olive Oil [Nut Free Basil Pesto Sauce, Creamy Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",*2 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Sauce, pesto, ready-to-serve, refrigerated",0.153,Olive Oil
Pasta,[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce,"Salted Butter [Alfredo Sauce, Creamy Sun Dried Tomato Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",1 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Butter, salted",0.167,Butter
Pasta,[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce,"Fresh Peeled Garlic Cloves [Alfredo Sauce, Creamy Sun Dried Tomato Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",1/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Chopped Garlic,0.022,Onion
Pasta,[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce,"All Purpose Flour [Alfredo Sauce, Creamy Sun Dried Tomato Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",1 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,All-Purpose Flour,0.154,Wheat Flour
Pasta,[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce,"Cornell 2% Milk [Alfredo Sauce, Creamy Sun Dried Tomato Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",3 Tablespoon + 2 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Milk, Reduced Fat (2%)",2.062,2% Milk
Pasta,[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce,"Heavy Cream [Alfredo Sauce, Creamy Sun Dried Tomato Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",1 Tablespoon + 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Cream, heavy, fluid",0.656,Cream (Heavy)
Pasta,[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce,"Grated Parmesan Cheese [Alfredo Sauce, Creamy Sun Dried Tomato Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",1 Tablespoon + 2 1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Cheese, parmesan, grated",0.386,Parmesan
Pasta,[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce,"Kosher Salt [Alfredo Sauce, Creamy Sun Dried Tomato Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce,"Black Pepper [Alfredo Sauce, Creamy Sun Dried Tomato Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce,"Fresh Flat Leaf Parsley [Alfredo Sauce, Creamy Sun Dried Tomato Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Parsley, fresh",0.011,Fennel
Pasta,[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce,"Sun Dried Tomato [Sun Dried Tomato Pesto, Creamy Sun Dried Tomato Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",*1 Tablespoon + 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Sun-dried tomato pesto sauce and spread,0.227,Tomato
Pasta,[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce,"Parmesan [Sun Dried Tomato Pesto, Creamy Sun Dried Tomato Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",*1 Tablespoon + 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Sun-dried tomato pesto sauce and spread,0.227,Parmesan
Pasta,[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce,"Olive Oil [Sun Dried Tomato Pesto, Creamy Sun Dried Tomato Pesto Sauce, Trillium Pasta Station LTO Sauce Options]",*1 Tablespoon + 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Sun-dried tomato pesto sauce and spread,0.227,Olive Oil
Pasta,[CYO Pasta Component] Creamy Red Pepper Alfredo Sauce,"Salted Butter [Alfredo Sauce, Creamy Red Pepper Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Butter, salted",0.167,Butter
Pasta,[CYO Pasta Component] Creamy Red Pepper Alfredo Sauce,"Fresh Peeled Garlic Cloves [Alfredo Sauce, Creamy Red Pepper Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Chopped Garlic,0.022,Onion
Pasta,[CYO Pasta Component] Creamy Red Pepper Alfredo Sauce,"All Purpose Flour [Alfredo Sauce, Creamy Red Pepper Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,All-Purpose Flour,0.154,Wheat Flour
Pasta,[CYO Pasta Component] Creamy Red Pepper Alfredo Sauce,"Cornell 2% Milk [Alfredo Sauce, Creamy Red Pepper Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",3 Tablespoon + 2 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Milk, Reduced Fat (2%)",2.062,2% Milk
Pasta,[CYO Pasta Component] Creamy Red Pepper Alfredo Sauce,"Heavy Cream [Alfredo Sauce, Creamy Red Pepper Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1 Tablespoon + 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Cream, heavy, fluid",0.656,Cream (Heavy)
Pasta,[CYO Pasta Component] Creamy Red Pepper Alfredo Sauce,"Grated Parmesan Cheese [Alfredo Sauce, Creamy Red Pepper Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1 Tablespoon + 2 1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Cheese, parmesan, grated",0.386,Parmesan
Pasta,[CYO Pasta Component] Creamy Red Pepper Alfredo Sauce,"Kosher Salt [Alfredo Sauce, Creamy Red Pepper Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Creamy Red Pepper Alfredo Sauce,"Black Pepper [Alfredo Sauce, Creamy Red Pepper Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",,,,,,
Pasta,[CYO Pasta Component] Creamy Red Pepper Alfredo Sauce,"Fresh Flat Leaf Parsley [Alfredo Sauce, Creamy Red Pepper Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Parsley, fresh",0.011,Fennel
Pasta,[CYO Pasta Component] Creamy Red Pepper Alfredo Sauce,"Roasted Red Peppers [Creamy Red Pepper Alfredo Sauce, Trillium Pasta Station LTO Sauce Options]",1 Tablespoon + 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Diced green bell peppers,0.3,Bell Pepper
Pasta,[CYO Pasta Component] Penne Pasta,"Kosher Salt [Whole Grain Penne Pasta, Trillium Pasta Station Pasta Options]",,,,,,
Pasta,[CYO Pasta Component] Penne Pasta,"Water [Whole Grain Penne Pasta, Trillium Pasta Station Pasta Options]",,,,,,
Pasta,[CYO Pasta Component] Penne Pasta,"Whole Grain Penne Pasta [Whole Grain Penne Pasta, Trillium Pasta Station Pasta Options]",2 Oz,no,,,2,Wheat Noodles
Pasta,[CYO Pasta Component] Penne Pasta,"Canola Oil [Whole Grain Penne Pasta, Trillium Pasta Station Pasta Options]",1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and soybean oil,0.04,Sunflower Oil (CAN)
Pasta,[CYO Pasta Component] Linguine Pasta,"Kosher Salt [Linguine Pasta, Trillium Pasta Station Pasta Options]",,,,,,
Pasta,[CYO Pasta Component] Linguine Pasta,"Water [Linguine Pasta, Trillium Pasta Station Pasta Options]",,,,,,
Pasta,[CYO Pasta Component] Linguine Pasta,"Linguine Pasta [Linguine Pasta, Trillium Pasta Station Pasta Options]",2 Oz,no,,,2,Wheat Noodles
Pasta,[CYO Pasta Component] Linguine Pasta,"Canola Oil [Linguine Pasta, Trillium Pasta Station Pasta Options]",1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and soybean oil,0.04,Sunflower Oil (CAN)
Pasta,[CYO Pasta Component] Sauteed Broccoli,"Broccoli [Sauteed Broccoli, Trillium Pasta Station Veggies Options]",2 Tablespoon + 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Broccoli, raw",0.42,Broccoli
Pasta,[CYO Pasta Component] Sauteed Broccoli,"Canola Oil [Sauteed Broccoli, Trillium Pasta Station Veggies Options]",1/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and soybean oil,0.02,Sunflower Oil (CAN)
Pasta,[CYO Pasta Component] Sauteed Broccoli,"Kosher Salt [Granulated Garlic, Salt, & Pepper Blend, Sauteed Broccoli, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Broccoli,"Black Pepper [Granulated Garlic, Salt, & Pepper Blend, Sauteed Broccoli, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Broccoli,"Garlic Powder [Granulated Garlic, Salt, & Pepper Blend, Sauteed Broccoli, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Roasted Cherry Tomatoes,"Heirloom Cherry Tomato [Roasted Cherry Tomatoes, Trillium Pasta Station Veggies Options]",12/1 Pt,yes,USDA Nutrient Database for Standard Reference,Cherry tomatoes,4.13,Tomato
Pasta,[CYO Pasta Component] Roasted Cherry Tomatoes,"Cherry Tomato [Roasted Cherry Tomatoes, Trillium Pasta Station Veggies Options]",12/1 Pt,yes,USDA Nutrient Database for Standard Reference,Cherry tomatoes,2.07,Tomato
Pasta,[CYO Pasta Component] Roasted Cherry Tomatoes,"Pomace Olive Oil [Roasted Cherry Tomatoes, Trillium Pasta Station Veggies Options]",1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Oil, olive, extra virgin",0.08,Olive Oil
Pasta,[CYO Pasta Component] Roasted Cherry Tomatoes,"Dried Basil [Roasted Cherry Tomatoes, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Roasted Cherry Tomatoes,"Dried Oregano [Roasted Cherry Tomatoes, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Roasted Cherry Tomatoes,"Kosher Salt [Roasted Cherry Tomatoes, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Roasted Cherry Tomatoes,"Black Pepper [Roasted Cherry Tomatoes, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Mushrooms,"Sliced Mushroom [Sauteed Mushrooms, Trillium Pasta Station Veggies Options]",1 1/2 Oz,no,,,1.5,Mushroom
Pasta,[CYO Pasta Component] Sauteed Mushrooms,"Kosher Salt [Granulated Garlic, Salt, & Pepper Blend, Sauteed Mushrooms, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Mushrooms,"Black Pepper [Granulated Garlic, Salt, & Pepper Blend, Sauteed Mushrooms, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Mushrooms,"Garlic Powder [Granulated Garlic, Salt, & Pepper Blend, Sauteed Mushrooms, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Mushrooms,"Canola Oil [Sauteed Mushrooms, Trillium Pasta Station Veggies Options]",1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and soybean oil,0.08,Sunflower Oil (CAN)
Pasta,[CYO Pasta Component] Olive & Caper Topping,"Queen Green Olive Pieces [Olive & Caper Topping, Trillium Pasta Station Veggies Options]",2 Tablespoon + 1 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Olives, green",0.76,Olives
Pasta,[CYO Pasta Component] Olive & Caper Topping,"Capers [Olive & Caper Topping, Trillium Pasta Station Veggies Options]",1 Tablespoon + 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Capers, canned (drained)",0.38,Olives
Pasta,[CYO Pasta Component] Olive & Caper Topping,"Kalamata Olives [Olive & Caper Topping, Trillium Pasta Station Veggies Options]",2 Tablespoon + 1 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Sliced Greek Kalamata Olives,0.68,Olives
Pasta,[CYO Pasta Component] Sauteed Onions,"Whole Peeled Onion [Sauteed Onions, Trillium Pasta Station Veggies Options]",1 Lb,no,,,16,Onion
Pasta,[CYO Pasta Component] Sauteed Onions,"Canola Oil [Sauteed Onions, Trillium Pasta Station Veggies Options]",1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and soybean oil,0.08,Sunflower Oil (CAN)
Pasta,[CYO Pasta Component] Sauteed Onions,"Kosher Salt [Granulated Garlic, Salt, & Pepper Blend, Sauteed Onions, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Onions,"Black Pepper [Granulated Garlic, Salt, & Pepper Blend, Sauteed Onions, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Onions,"Garlic Powder [Granulated Garlic, Salt, & Pepper Blend, Sauteed Onions, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Pepper Medley,"Yellow Bell Pepper [Sauteed Pepper Medley, Trillium Pasta Station Veggies Options]",1 Tablespoon + 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Diced green bell peppers,0.3,Bell Pepper
Pasta,[CYO Pasta Component] Sauteed Pepper Medley,"Red Bell Peppers [Sauteed Pepper Medley, Trillium Pasta Station Veggies Options]",2 1/2 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Diced green bell peppers,0.2,Bell Pepper
Pasta,[CYO Pasta Component] Sauteed Pepper Medley,"Green Bell Peppers [Sauteed Pepper Medley, Trillium Pasta Station Veggies Options]",1 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Diced green bell peppers,0.08,Bell Pepper
Pasta,[CYO Pasta Component] Sauteed Pepper Medley,"Canola Oil [Sauteed Pepper Medley, Trillium Pasta Station Veggies Options]",1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and soybean oil,0.04,Sunflower Oil (CAN)
Pasta,[CYO Pasta Component] Sauteed Pepper Medley,"Kosher Salt [Granulated Garlic, Salt, & Pepper Blend, Sauteed Pepper Medley, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Pepper Medley,"Black Pepper [Granulated Garlic, Salt, & Pepper Blend, Sauteed Pepper Medley, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Pepper Medley,"Garlic Powder [Granulated Garlic, Salt, & Pepper Blend, Sauteed Pepper Medley, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Zucchini & Summer Squash,"Canola Oil [Sauteed Zucchini & Summer Squash, Trillium Pasta Station Veggies Options]",1/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and soybean oil,0.02,Squash
Pasta,[CYO Pasta Component] Sauteed Zucchini & Summer Squash,"Yellow Summer Squash [Sauteed Zucchini & Summer Squash, Trillium Pasta Station Veggies Options]",1 Tablespoon + 1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Yellow squash,0.41,Squash
Pasta,[CYO Pasta Component] Sauteed Zucchini & Summer Squash,"Zucchini Squash [Sauteed Zucchini & Summer Squash, Trillium Pasta Station Veggies Options]",2 Tablespoon + 3/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Zucchini squash,0.83,Squash
Pasta,[CYO Pasta Component] Sauteed Zucchini & Summer Squash,"Kosher Salt [Granulated Garlic, Salt, & Pepper Blend, Sauteed Zucchini & Summer Squash, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Zucchini & Summer Squash,"Black Pepper [Granulated Garlic, Salt, & Pepper Blend, Sauteed Zucchini & Summer Squash, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Sauteed Zucchini & Summer Squash,"Garlic Powder [Granulated Garlic, Salt, & Pepper Blend, Sauteed Zucchini & Summer Squash, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Mild Italian Sausage,"Sweet Italian Pork Sausage Links [Mild Italian Sausage, Trillium Pasta Station Meat Options]",3 Oz,no,,,3,Sausage
Pasta,[CYO Pasta Component] Hot Italian Pork Sausage,"Hot Italian Pork Sausage Links [Hot Italian Sausage, Trillium Pasta Station Meat Options]",3 Oz,no,,,3,Sausage
Pasta,[CYO Pasta Component] Pork & Beef Meatball,"Pork & Beef Meatball [Italian Style Meatballs, Trillium Pasta Station Meat Options]",3 Oz,no,,,3,Beef
Pasta,[CYO Pasta Component] Grilled Chicken,"Chicken Breast Bnls Skls 4 Oz Fzn lqf [Grilled Chicken, Trillium Pasta Station Meat Options]",4 Oz,no,,,4,Chicken
Pasta,[CYO Pasta Component] Grilled Chicken,"Canola Oil [Grilled Chicken, Trillium Pasta Station Meat Options]",1/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,Canola and soybean oil,0.02,Sunflower Oil (CAN)
Pasta,[CYO Pasta Component] Grilled Chicken,"Kosher Salt [Granulated Garlic, Salt, & Pepper Blend, Grilled Chicken, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Grilled Chicken,"Black Pepper [Granulated Garlic, Salt, & Pepper Blend, Grilled Chicken, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Grilled Chicken,"Garlic Powder [Granulated Garlic, Salt, & Pepper Blend, Grilled Chicken, Trillium Pasta Station Veggies Options]",,,,,,
Pasta,[CYO Pasta Component] Breaded Chicken Breast,"Homestyle Breaded Chicken Breast [Breaded Chicken Breast, Trillium Pasta Station Meat Options]",3.5 Oz,no,,,3.5,Chicken
Pasta,[CYO Pasta Component] Parmesan Cheese,"Shredded Parmesan Cheese [Parmesan Cheese, Trillium Pasta Station Cheese Options]",2 1/4 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Cheese, parmesan, grated",0.17,Parmesan
Pasta,[CYO Pasta Component] Asiago Cheese,"Asiago Cheese [Asiago Cheese, Trillium Pasta Station Cheese Options]",1 Tablespoon,yes,USDA Nutrient Database for Standard Reference,"Cheese, parmesan, grated",0.22,Parmesan
Pasta,[CYO Pasta Component] Breadstick,Parbaked Garlic Breadstick [Breadstick],1.75 Oz,no,,,1.75,Wheat Bread
Pasta,[CYO Pasta Component] Parsley Garnish,Fresh Flat Leaf Parsley,0.1 Oz,no,,,0.1,Fennel
Pasta,[CYO Pasta Component] Meatless Meatballs,Gardein Vegan Meatball,1.6 Oz,no,,,1.6,Pea Protein (CAN)
